min_values,max_values
-0.1259843,1.301004
-0.1259843,1.0839
-0.1259843,1.31178
-0.1259843,1.40486
-0.1259843,1.679296
-0.1259843,1.689943
-0.1259843,1.849041
-0.1259843,2.003835
-0.1259843,1.308096
-0.1259843,1.179522
-0.1259843,1.499995
-0.1259843,1.629259
-0.1259843,1.125794
-0.1259843,1.555499
-0.1259843,0.9396964
-0.1259843,1.854344
-0.1259843,1.691357
-0.1259843,0.9822298
-0.1259843,0.9549869
-0.1259843,1.034375
-0.1259843,1.316443
-0.1259843,1.633988
-0.1259843,1.641716
-0.1259843,1.063834
-0.1259843,1.73875
-0.1259843,1.011032
-0.1259843,1.235952
-0.1259843,1.407974
-0.1259843,1.269622
-0.1259843,1.57081
-0.1259843,1.492924
-0.1259843,1.98926
-0.1259843,1.246037
-0.1259843,2.023554
-0.1259843,1.475006
-0.1259843,1.091776
